year,tempo
1972,103.454
1972,89.198
1972,107.297
1972,163.782
1972,146.144
1972,92.903
1972,80.049
1972,101.335
1972,139.567
1972,102.338
1972,141.982
1972,114.981
1972,78.223
1972,120.191
1972,167.973
1972,133.26
1972,123.366
1972,134.162
1972,108.991
1972,103.747
1972,160.283
1972,80.136
1972,104.126
1972,148.748
1972,144.854
1972,141.017
1972,133.086
1972,180.565
1972,60.085
1972,96.242
1972,91.657
1972,123.277
1972,123.025
1972,171.437
1972,79.984
1972,161.323
1972,88.599
1972,75.103
1972,104.268
1972,157.239
1972,142.184
1972,92.781
1972,123.638
1972,150.686
1972,101.45
1972,120.318
1972,169.792
1972,133.438
1972,115.956
1972,154.913
1972,120.199
1972,80.417
1972,121.165
1972,98.474
1972,96.836
1972,126.637
1972,95.072
1972,130.798
1972,122.401
1972,116.449
1972,122.904
1972,122.117
1972,172.625
1972,130.389
1972,157.846
1972,134.75
1972,92.249
1972,101.227
1972,133.909
1972,137.816
1972,142.156
1972,147.197
1972,135.535
1972,125.045
1972,91.858
1972,117.528
1972,93.125
1972,112.781
1972,142.04
1972,151.991
1972,134.418
1972,131.063
1972,86.163
1972,122.894
1972,79.026
1972,154.132
1972,243.507
1972,129.506
1972,79.368
1973,127.511
1973,113.17
1973,159.481
1973,123.216
1973,93.855
1973,121.401
1973,187.028
1973,202.266
1973,89.208
1973,74.163
1973,117.26
1973,134.483
1973,93.655
1973,90.112
1973,118.48
1973,89.685
1973,171.57
1973,58.245
1973,146.082
1973,119.416
1973,115.643
1973,146.008
1973,124.714
1973,203.092
1973,135.277
1973,123.837
1973,98.571
1973,164.825
1973,93.802
1973,121.126
1973,102.559
1973,117.398
1973,108.482
1973,119.615
1973,155.48
1973,104.529
1973,113.069
1973,140
1973,126.97
1973,97.624
1973,117.853
1973,131.752
1973,134.066
1973,125.491
1973,135.805
1973,80.324
1973,128.252
1973,119.492
1973,94.758
1973,125.622
1973,79.9
1973,129.538
1973,75.514
1973,81.731
1973,116.556
1973,125.058
1973,116.573
1973,79.075
1973,142.766
1973,116.354
1973,112.21
1973,154.645
1973,137.588
1973,78.827
1973,201.015
1973,103.206
1973,114.798
1973,93.372
1973,117.519
1973,88.528
1973,154.576
1973,97.19
1973,111.769
1973,114.941
1973,113.073
1973,165.073
1973,129.157
1973,141.876
1973,144.381
1973,131.952
1973,96.744
1973,130.775
1973,108.234
1973,155.209
1973,89.826
1973,82.598
1973,112.635
1973,115.7
1973,151.16
1973,102.256
1973,135.547
1973,132.019
1973,119.729
1973,92.574
1973,87.614
1973,141.401
1973,145.178
1973,96.85
1973,143.844
1973,140.968
1974,111.667
1974,94.259
1974,109.035
1974,84.132
1974,114.01
1974,136.351
1974,113.611
1974,129.039
1974,125.231
1974,120.726
1974,119.922
1974,127.287
1974,127.653
1974,177.728
1974,173.025
1974,130.782
1974,150.127
1974,100.625
1974,117.055
1974,102.888
1974,81.983
1974,74.037
1974,130.555
1974,110.577
1974,100.829
1974,123.44
1974,115.643
1974,144.144
1974,100.359
1974,176.431
1974,105.848
1974,100.311
1974,146.127
1974,177.122
1974,184.665
1974,76.22
1974,148.955
1974,97.191
1974,80.213
1974,120.797
1974,94.868
1974,86.969
1974,81.231
1974,170.9
1974,146.972
1974,138.547
1974,134.948
1974,136.772
1974,115.04
1974,115.712
1974,128.156
1974,115.013
1974,108.118
1974,96.758
1974,91.015
1974,148.271
1974,135.255
1974,94.527
1974,76.731
1974,118.613
1974,149.357
1974,90.205
1974,124.239
1974,130.798
1974,128.628
1974,133.671
1974,148.3
1974,134.673
1974,143.623
1974,124.652
1974,96.752
1974,139.455
1974,136.153
1974,112.623
1974,82.89
1974,152.383
1974,89.378
1974,131.664
1974,142.756
1974,172.675
1974,98.341
1974,121.45
1974,77.816
1974,99.64
1974,95.085
1974,132.049
1974,118.316
1974,116.333
1974,97.472
1974,157.619
1974,132.975
1974,168.158
1974,93.223
1974,113.045
1974,79.836
1974,148.165
1974,133.639
1974,134.673
1974,125.915
1974,118.48
1975,139.991
1975,91.891
1975,151.637
1975,113.809
1975,77.209
1975,142.682
1975,143.746
1975,97.441
1975,118.738
1975,95.822
1975,127.329
1975,80.397
1975,142.308
1975,90.694
1975,89.031
1975,124.704
1975,170.129
1975,70.126
1975,149.652
1975,85.507
1975,117.251
1975,119.59
1975,154.299
1975,119.452
1975,106.074
1975,141.609
1975,69.02
1975,91.498
1975,109.37
1975,166.135
1975,150.781
1975,135.793
1975,123.652
1975,90.424
1975,110.051
1975,107.567
1975,149.341
1975,90.742
1975,120.762
1975,99.748
1975,148.751
1975,118.978
1975,143.883
1975,106.688
1975,122.186
1975,170.055
1975,78.073
1975,139.296
1975,121.516
1975,117.067
1975,190.945
1975,130.689
1975,81.686
1975,131.098
1975,95.766
1975,110.354
1975,118.671
1975,185.54
1975,142.012
1975,117.131
1975,83.392
1975,79.946
1975,113.201
1975,95.854
1975,97.286
1975,123.845
1975,111.916
1975,119.23
1975,158.146
1975,106.195
1975,121.508
1975,166.653
1975,92.234
1975,117.788
1975,105.466
1975,148.931
1975,118.327
1975,118.355
1975,111.29
1975,149.975
1975,168.357
1975,97.341
1975,127.71
1975,126.997
1975,188.097
1975,95.193
1975,108.07
1975,101.609
1975,179.46
1975,110.815
1975,133.829
1975,113.644
1975,122.598
1975,171.464
1975,114.533
1975,99.508
1975,111.193
1975,136.313
1975,100.465
1975,109.39
1976,107.432
1976,184.688
1976,119.559
1976,87.58
1976,80.107
1976,131.148
1976,115.837
1976,70.639
1976,134.37
1976,112.114
1976,110.571
1976,77.098
1976,85.972
1976,117.546
1976,119.083
1976,81.718
1976,112.089
1976,117.005
1976,106.293
1976,94.649
1976,112.883
1976,101.101
1976,125.066
1976,120.392
1976,122.839
1976,128.809
1976,145.156
1976,129.788
1976,92.453
1976,122.021
1976,92.727
1976,96.279
1976,122.083
1976,141.624
1976,144.939
1976,121.541
1976,146.655
1976,111.539
1976,113.635
1976,156.278
1976,119.188
1976,104.256
1976,145.743
1976,129.847
1976,177.581
1976,182.343
1976,164.415
1976,132.336
1976,149.79
1976,107.51
1976,104.142
1976,179.139
1976,102.41
1976,110.703
1976,136.57
1976,96.302
1976,119.538
1976,105.879
1976,89.421
1976,79.163
1976,123.129
1976,126.592
1976,94.486
1976,82.139
1976,94.691
1976,143.7
1976,135.198
1976,109.887
1976,115.147
1976,121.999
1976,134.599
1976,122.17
1976,120.966
1976,119.749
1976,97.335
1976,144.924
1976,80.334
1976,98.515
1976,104.789
1976,127.68
1976,78.762
1976,183.314
1976,97.031
1976,77.152
1976,183.337
1976,131.493
1976,84.21
1976,113.025
1976,93.431
1976,97.982
1976,98.187
1976,134.414
1976,81.011
1976,75.978
1976,129.719
1976,106.734
1976,139.225
1976,131.242
1976,89.288
1976,131.983
1977,103.659
1977,171.704
1977,113.124
1977,114.691
1977,134.768
1977,104.731
1977,82.612
1977,126.536
1977,135.614
1977,139.437
1977,105.533
1977,104.61
1977,92.344
1977,149.272
1977,169.658
1977,90.126
1977,132.454
1977,140.383
1977,127.642
1977,97.983
1977,116.878
1977,77.918
1977,184.601
1977,117.045
1977,105.243
1977,77.046
1977,115.118
1977,74.11
1977,99.567
1977,136.566
1977,113.8
1977,119.182
1977,106.398
1977,80.065
1977,129.352
1977,104.036
1977,111.696
1977,133.598
1977,122.887
1977,92.059
1977,126.112
1977,124.544
1977,134.62
1977,87.748
1977,110.387
1977,144.71
1977,153.504
1977,116.665
1977,131.412
1977,133.832
1977,108.979
1977,141.489
1977,80.128
1977,169.951
1977,76.831
